Location,Link,Price (€),Area (m²),Hab
"Centro Pueblo, Sant Pere de Ribes",https://www.idealista.com/obra-nueva/106876196/inmueble/106879798/,230000 ,53 ,1 
"Centro Pueblo, Sant Pere de Ribes",https://www.idealista.com/obra-nueva/106876196/inmueble/106879711/,290000 ,92 ,3 
"Centro Pueblo, Sant Pere de Ribes",https://www.idealista.com/obra-nueva/106876196/inmueble/106879826/,325000 ,85 ,3 
"Centro Pueblo, Sant Pere de Ribes",https://www.idealista.com/obra-nueva/106876196/inmueble/106879870/,335000 ,75 ,2 
"Centro Pueblo, Sant Pere de Ribes",https://www.idealista.com/obra-nueva/106876196/inmueble/106879714/,415000 ,130 ,3 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/107820550/,231781 ,117 ,2 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/108657381/,255720 ,109 ,3 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/108657472/,262617 ,115 ,3 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/108657477/,264563 ,114 ,3 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/108657427/,273668 ,118 ,3 
"Montflorit-Plana del Castell, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/105334262/inmueble/107820554/,288623 ,139 ,4 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367908/,234000 ,42 ,1 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367904/,392000 ,88 ,3 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367907/,408000 ,88 ,3 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367906/,430000 ,87 ,3 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367908/,234000 ,42 ,1 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367904/,392000 ,88 ,3 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367907/,408000 ,88 ,3 
Sant Adriá de Besós,https://www.idealista.com/obra-nueva/108367903/inmueble/108367906/,430000 ,87 ,3 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/107853769/inmueble/108951865/,235000 ,62 ,1 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/107853769/inmueble/108952027/,260000 ,78 ,2 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/107853769/inmueble/108952011/,300000 ,77 ,2 
"Riu, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/107853769/inmueble/108951995/,302000 ,74 ,2 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/107555141/,240000 ,58 ,2 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/108026451/,255000 ,62 ,2 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/108691414/,265000 ,67 ,2 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/108863286/,312000 ,73 ,3 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/108691341/,365000 ,91 ,3 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/108691483/,365000 ,91 ,3 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/107566006/,365000 ,94 ,3 
"Bufalà, Badalona",https://www.idealista.com/obra-nueva/107551055/inmueble/107898820/,390000 ,98 ,3 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103085567/,242000 ,42 ,1 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103084333/,288500 ,58 ,2 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103084395/,331000 ,56 ,2 
"Can Vidalet, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/103080178/inmueble/103085576/,331000 ,57 ,2 
